CP,ZONA,LOCALIDAD
1386,CABA,CABA
1387,CABA,CABA
1388,CABA,CABA
1389,CABA,CABA
1390,CABA,CABA
1391,CABA,CABA
1392,CABA,CABA
1393,CABA,CABA
1394,CABA,CABA
1395,CABA,CABA
1396,CABA,CABA
1397,CABA,CABA
1398,CABA,CABA
1399,CABA,CABA
1400,CABA,CABA
1401,CABA,CABA
1402,CABA,CABA
1403,CABA,CABA
1404,CABA,CABA
1405,CABA,CABA
1406,CABA,CABA
1407,CABA,CABA
1408,CABA,CABA
1409,CABA,CABA
1410,CABA,CABA
1411,CABA,CABA
1412,CABA,CABA
1413,CABA,CABA
1414,CABA,CABA
1415,CABA,CABA
1416,CABA,CABA
1417,CABA,CABA
1418,CABA,CABA
1419,CABA,CABA
1420,CABA,CABA
1421,CABA,CABA
1422,CABA,CABA
1423,CABA,CABA
1424,CABA,CABA
1425,CABA,CABA
1426,CABA,CABA
1427,CABA,CABA
1428,CABA,CABA
1429,CABA,CABA
1430,CABA,CABA
1431,CABA,CABA
1432,CABA,CABA
1433,CABA,CABA
1434,CABA,CABA
1435,CABA,CABA
1436,CABA,CABA
1437,CABA,CABA
1438,CABA,CABA
1439,CABA,CABA
1440,CABA,CABA
1441,CABA,CABA
1442,CABA,CABA
1443,CABA,CABA
1444,CABA,CABA
1445,CABA,CABA
1446,CABA,CABA
1447,CABA,CABA
1448,CABA,CABA
1449,CABA,CABA
1450,CABA,CABA
1451,CABA,CABA
1452,CABA,CABA
1453,CABA,CABA
1454,CABA,CABA
1455,CABA,CABA
1456,CABA,CABA
1457,CABA,CABA
1458,CABA,CABA
1459,CABA,CABA
1460,CABA,CABA
1461,CABA,CABA
1462,CABA,CABA
1463,CABA,CABA
1464,CABA,CABA
1465,CABA,CABA
1466,CABA,CABA
1467,CABA,CABA
1468,CABA,CABA
1469,CABA,CABA
1470,CABA,CABA
1471,CABA,CABA
1472,CABA,CABA
1473,CABA,CABA
1474,CABA,CABA
1475,CABA,CABA
1476,CABA,CABA
1477,CABA,CABA
1478,CABA,CABA
1479,CABA,CABA
1480,CABA,CABA
1481,CABA,CABA
1482,CABA,CABA
1483,CABA,CABA
1484,CABA,CABA
1485,CABA,CABA
1486,CABA,CABA
1487,CABA,CABA
1488,CABA,CABA
1489,CABA,CABA
1490,CABA,CABA
1491,CABA,CABA
1492,CABA,CABA
1493,CABA,CABA
1494,CABA,CABA
1495,CABA,CABA
1496,CABA,CABA
1497,CABA,CABA
1498,CABA,CABA
1499,CABA,CABA
1602,1ER CORDON,Vicente Lopez
1603,1ER CORDON,Vicente Lopez
1604,1ER CORDON,Vicente Lopez
1605,1ER CORDON,Vicente Lopez
1636,1ER CORDON,Vicente Lopez
1637,1ER CORDON,Vicente Lopez
1638,1ER CORDON,Vicente Lopez
1650,1ER CORDON,San Martin
1651,1ER CORDON,San Martin
1652,1ER CORDON,San Martin
1653,1ER CORDON,San Martin
1670,1ER CORDON,Tres de Febrero
1672,1ER CORDON,Tres de Febrero
1674,1ER CORDON,Tres de Febrero
1676,1ER CORDON,Tres de Febrero
1678,1ER CORDON,Tres de Febrero
1684,1ER CORDON,Tres de Febrero
1685,1ER CORDON,Tres de Febrero
1752,1ER CORDON,Lomas del Mirador
1754,1ER CORDON,San Justo
1832,1ER CORDON,Lomas de Zamora
1834,1ER CORDON,Lomas de Zamora
1836,1ER CORDON,Lomas de Zamora
1822,1ER CORDON,Lanus
1824,1ER CORDON,Lanus
1825,1ER CORDON,Lanus
1826,1ER CORDON,Lanus
1828,1ER CORDON,Lanus
1870,1ER CORDON,Avellaneda
1871,1ER CORDON,Avellaneda
1872,1ER CORDON,Avellaneda
1874,1ER CORDON,Avellaneda
1640,2DO CORDON,San Isidro
1641,2DO CORDON,San Isidro
1642,2DO CORDON,San Isidro
1643,2DO CORDON,San Isidro
1646,2DO CORDON,San Fernando
1648,2DO CORDON,Tigre
1663,2DO CORDON,San Miguel
1664,2DO CORDON,San Miguel
1686,2DO CORDON,Hurlingham
1688,2DO CORDON,Hurlingham
1714,2DO CORDON,Ituzaingo
1708,2DO CORDON,Moron
1712,2DO CORDON,Moron
1765,2DO CORDON,Isidro Casanova
1757,2DO CORDON,Gregorio de Laferrere
1755,2DO CORDON,Rafael Castillo
1804,2DO CORDON,Ezeiza
1842,2DO CORDON,Esteban Echeverria
1878,2DO CORDON,Quilmes
2800,3ER CORDON,Zarate
2804,3ER CORDON,Campana
1629,3ER CORDON,Pilar
1625,3ER CORDON,Escobar
6700,3ER CORDON,Lujan
1613,3ER CORDON,Malvinas Argentinas
1666,3ER CORDON,Malvinas Argentinas
1665,3ER CORDON,Jose C Paz
1748,3ER CORDON,General Rodriguez
1744,3ER CORDON,Moreno
1722,3ER CORDON,Merlo
1727,3ER CORDON,Marcos Paz
1759,3ER CORDON,Gonzalez Catan
1763,3ER CORDON,Virrey del Pino
1812,3ER CORDON,Tristan Suarez / Spegazzini
1814,3ER CORDON,Canuelas
1865,3ER CORDON,San Vicente
1862,3ER CORDON,Presidente Peron
1888,3ER CORDON,Florencio Varela
1884,3ER CORDON,Berazategui
1925,3ER CORDON,Ensenada
1923,3ER CORDON,Berisso
1900,3ER CORDON,La Plata
1901,3ER CORDON,La Plata
1902,3ER CORDON,La Plata
1903,3ER CORDON,La Plata
1904,3ER CORDON,La Plata
